127.0.0.1 - - [10/Jan/2022:23:37:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /LearnCode/ HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:06 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:09 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4571
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:09 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:09 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:09 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:14 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:14 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 8707
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:14 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:14 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:14 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:31 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:51 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 8707
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:51 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:51 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:51 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:37:51 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:38:04 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:18 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 500 2286
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:26 +0700] "GET /LearnCode/ HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:26 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:26 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:26 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:26 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:27 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4571
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:27 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:27 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:27 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:31 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:31 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 8707
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:31 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:31 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:43:57 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
